# 図 4.5.10「通風量（風洞実験結果とCFD結果）」の風洞実験曲線を目視で読み取った値。
#
# 出典: 空気調和・衛生工学会 編
#       『はじめての環境・設備設計シミュレーション CFD ガイドブック』4.5 節 図 4.5.10
#       図そのものは転載しない。読み取った数値のみを記録する。
#
# 読み取り方法:
#   図の印刷物を撮影した画像から、白丸（風洞実験）の中心を目視で読んだ。
#   縦軸は 0 - 0.05 に 0.01 刻みの目盛りがあり、これを基準にした。
#   横軸は 0 - 80 度に 10 度刻みの目盛り。
#
# 読み取り誤差:
#   **± 0.002 と見積もる。** 目盛り 1 区間（0.01）の 1/5 に相当する。
#   これは通風量の 5 % 前後にあたり、乱流モデル間の差と同程度である。
#   実験との比較を論じるときは、この不確かさを併記すること。
#
# 経緯:
#   以前の表には 22.5 度 0.0447、45 度 0.0408 と記載していたが、
#   0.0447 は曲線の最大値（10 度付近）を超えており、曲線上に存在し得ない。
#   出典が確認できなかったため、図から読み直した値に差し替えた。
#
# angle_deg : 風向角 [deg]
# Q         : 通風量 Q/(U_H H^2) [-]
angle_deg,Q
0,0.0428
10,0.0437
20,0.0433
30,0.0396
35,0.0389
40,0.0376
45,0.0373
50,0.0405
55,0.0402
60,0.0383
70,0.0333
75,0.0298
